"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"96011","PO BOX","BIG BEND","CA","PRIMARY",41.04,-121.89,"NA-US-CA-BIG BEND","false",,,
"93605","PO BOX","BIG CREEK","CA","PRIMARY",37.16,-119.30,"NA-US-CA-BIG CREEK","false",,,
"95917","STANDARD","BIGGS","CA","PRIMARY",39.42,-121.67,"NA-US-CA-BIGGS","false",1329,2534,39762754
"95305","PO BOX","BIG OAK FLAT","CA","PRIMARY",37.82,-120.25,"NA-US-CA-BIG OAK FLAT","false",,,
"93606","PO BOX","BIOLA","CA","PRIMARY",36.80,-120.01,"NA-US-CA-BIOLA","false",691,1450,14488873
"95606","STANDARD","BROOKS","CA","PRIMARY",38.80,-122.18,"NA-US-CA-BROOKS","false",,,
"95918","STANDARD","BROWNS VALLEY","CA","PRIMARY",39.33,-121.33,"NA-US-CA-BROWNS VALLEY","false",950,1810,41135236
"95919","STANDARD","BROWNSVILLE","CA","PRIMARY",39.43,-121.25,"NA-US-CA-BROWNSVILLE","false",508,914,12452955
"96013","STANDARD","BURNEY","CA","PRIMARY",40.94,-121.74,"NA-US-CA-BURNEY","false",1713,3131,52420022
"95225","PO BOX","BURSON","CA","PRIMARY",38.18,-120.88,"NA-US-CA-BURSON","false",382,674,12951762
"95920","STANDARD","BUTTE CITY","CA","PRIMARY",39.46,-121.93,"NA-US-CA-BUTTE CITY","false",,,
"96014","STANDARD","CALLAHAN","CA","PRIMARY",41.36,-122.77,"NA-US-CA-CALLAHAN","false",,,
"95709","STANDARD","CAMINO","CA","PRIMARY",38.74,-120.68,"NA-US-CA-CAMINO","false",2318,4150,86166905
"95922","STANDARD","CAMPTONVILLE","CA","PRIMARY",39.42,-121.11,"NA-US-CA-CAMPTONVILLE","false",,,
"96015","STANDARD","CANBY","CA","PRIMARY",41.44,-120.94,"NA-US-CA-CANBY","false",,,
"93608","STANDARD","CANTUA CREEK","CA","PRIMARY",36.45,-120.45,"NA-US-CA-CANTUA CREEK","false",504,1102,11190857
"95923","STANDARD","CANYON DAM","CA","PRIMARY",40.15,-121.12,"NA-US-CA-CANYON DAM","false",,,
"95608","STANDARD","CARMICHAEL","CA","PRIMARY",38.62,-121.32,"NA-US-CA-CARMICHAEL","false",27006,45450,1126332124
"95609","PO BOX","CARMICHAEL","CA","PRIMARY",38.62,-121.32,"NA-US-CA-CARMICHAEL","false",999,1515,33397006
