"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"49515","PO BOX","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",,,
"49516","PO BOX","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",,,
"49518","PO BOX","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",,,
"49519","STANDARD","WYOMING","MI","PRIMARY",42.89,-85.72,"NA-US-MI-WYOMING","false",12676,21348,393485309
"49523","PO BOX","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",,,
"49525","STANDARD","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",13284,23349,601086579
"49528","PO BOX","GRAND RAPIDS","MI","PRIMARY",42.90,-85.67,"NA-US-MI-GRAND RAPIDS","false",,,
"49530","UNIQUE","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",,,
"49534","STANDARD","GRAND RAPIDS","MI","PRIMARY",42.97,-85.77,"NA-US-MI-GRAND RAPIDS","false",9750,17146,371442092
"49544","STANDARD","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",4518,7557,148235773
"49546","STANDARD","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",14142,25323,772629557
"49548","STANDARD","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",14101,24124,373253508
"49555","UNIQUE","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",,,
"49560","UNIQUE","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",,,
"49588","PO BOX","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",,,
"49599","PO BOX","GRAND RAPIDS","MI","PRIMARY",42.96,-85.65,"NA-US-MI-GRAND RAPIDS","false",,,
"49418","STANDARD","GRANDVILLE","MI","PRIMARY",42.90,-85.75,"NA-US-MI-GRANDVILLE","false",13213,23731,530793186
"49468","PO BOX","GRANDVILLE","MI","PRIMARY",42.90,-85.75,"NA-US-MI-GRANDVILLE","false",,,
"49327","STANDARD","GRANT","MI","PRIMARY",43.33,-85.81,"NA-US-MI-GRANT","false",3569,6794,110586958
"49637","STANDARD","GRAWN","MI","PRIMARY",44.66,-85.68,"NA-US-MI-GRAWN","false",1733,2982,48772505
"49738","STANDARD","GRAYLING","MI","PRIMARY",44.65,-84.70,"NA-US-MI-GRAYLING","false",4550,7941,107679728
"49739","UNIQUE","GRAYLING","MI","PRIMARY",44.65,-84.70,"NA-US-MI-GRAYLING","false",,,
"48738","STANDARD","GREENBUSH","MI","PRIMARY",44.54,-83.35,"NA-US-MI-GREENBUSH","false",603,1033,8026800
"49929","PO BOX","GREENLAND","MI","PRIMARY",46.82,-89.07,"NA-US-MI-GREENLAND","false",,,
"48838","STANDARD","GREENVILLE","MI","PRIMARY",43.17,-85.25,"NA-US-MI-GREENVILLE","false",7923,14296,238662478
"49840","STANDARD","GULLIVER","MI","PRIMARY",45.98,-86.02,"NA-US-MI-GULLIVER","false",342,627,9164154
"49841","STANDARD","GWINN","MI","PRIMARY",46.29,-87.43,"NA-US-MI-GWINN","false",2866,5127,75735495
"48739","STANDARD","HALE","MI","PRIMARY",44.38,-83.80,"NA-US-MI-HALE","false",1826,3168,29963147
"49419","STANDARD","HAMILTON","MI","PRIMARY",42.67,-86.00,"NA-US-MI-HAMILTON","false",3503,6837,144425097
"49930","STANDARD","HANCOCK","MI","PRIMARY",47.13,-88.60,"NA-US-MI-HANCOCK","false",2867,4781,84280969
"49115","PO BOX","HARBERT","MI","PRIMARY",41.88,-86.61,"NA-US-MI-HARBERT","false",,,
"49737","PO BOX","GOOD HART","MI","PRIMARY",45.56,-85.11,"NA-US-MI-GOOD HART","false",,,
"49740","STANDARD","HARBOR SPRINGS","MI","PRIMARY",45.43,-84.98,"NA-US-MI-HARBOR SPRINGS","false",3741,6424,118544746
"49638","STANDARD","HARRIETTA","MI","PRIMARY",44.30,-85.70,"NA-US-MI-HARRIETTA","false",378,682,8786662
"49845","PO BOX","HARRIS","MI","PRIMARY",45.91,-87.42,"NA-US-MI-HARRIS","false",,,
"48625","STANDARD","HARRISON","MI","PRIMARY",44.01,-84.80,"NA-US-MI-HARRISON","false",5472,9643,106428425
"48740","STANDARD","HARRISVILLE","MI","PRIMARY",44.65,-83.29,"NA-US-MI-HARRISVILLE","false",1130,1991,24067085
"49420","STANDARD","HART","MI","PRIMARY",43.69,-86.36,"NA-US-MI-HART","false",2863,5171,64246186
"49057","STANDARD","HARTFORD","MI","PRIMARY",42.20,-86.16,"NA-US-MI-HARTFORD","false",2864,5214,72926080
"48840","STANDARD","HASLETT","MI","PRIMARY",42.75,-84.40,"NA-US-MI-HASLETT","false",6391,10635,275327868
"49058","STANDARD","HASTINGS","MI","PRIMARY",42.65,-85.28,"NA-US-MI-HASTINGS","false",8600,15617,283929192
"49743","STANDARD","HAWKS","MI","PRIMARY",45.30,-83.90,"NA-US-MI-HAWKS","false",352,643,7649701
"48626","STANDARD","HEMLOCK","MI","PRIMARY",43.41,-84.23,"NA-US-MI-HEMLOCK","false",3008,5473,107366241
"48841","STANDARD","HENDERSON","MI","PRIMARY",43.08,-84.19,"NA-US-MI-HENDERSON","false",394,728,11320304
"49847","STANDARD","HERMANSVILLE","MI","PRIMARY",45.71,-87.60,"NA-US-MI-HERMANSVILLE","false",473,819,11806342
"49744","STANDARD","HERRON","MI","PRIMARY",45.00,-83.66,"NA-US-MI-HERRON","false",409,745,11054272
"49639","STANDARD","HERSEY","MI","PRIMARY",43.84,-85.44,"NA-US-MI-HERSEY","false",1132,2070,31723974
"49421","STANDARD","HESPERIA","MI","PRIMARY",43.56,-86.04,"NA-US-MI-HESPERIA","false",2546,4648,66789794
"49745","STANDARD","HESSEL","MI","PRIMARY",46.03,-84.44,"NA-US-MI-HESSEL","false",507,841,11114322
"49060","STANDARD","HICKORY CORNERS","MI","PRIMARY",42.44,-85.37,"NA-US-MI-HICKORY CORNERS","false",861,1566,56030482
"48627","PO BOX","HIGGINS LAKE","MI","PRIMARY",44.46,-84.75,"NA-US-MI-HIGGINS LAKE","false",294,493,4311923
"49746","STANDARD","HILLMAN","MI","PRIMARY",45.06,-83.90,"NA-US-MI-HILLMAN","false",1644,2861,33123251
"49422","PO BOX","HOLLAND","MI","PRIMARY",42.77,-86.10,"NA-US-MI-HOLLAND","false",425,683,10973273
"49423","STANDARD","HOLLAND","MI","PRIMARY",42.77,-86.10,"NA-US-MI-HOLLAND","false",20043,35282,666032193
"49424","STANDARD","HOLLAND","MI","PRIMARY",42.77,-86.10,"NA-US-MI-HOLLAND","false",20517,37715,817216179
"48842","STANDARD","HOLT","MI","PRIMARY",42.63,-84.52,"NA-US-MI-HOLT","false",10114,17796,403795631
"49425","STANDARD","HOLTON","MI","PRIMARY",43.41,-86.07,"NA-US-MI-HOLTON","false",1524,2813,41358136
"49640","STANDARD","HONOR","MI","PRIMARY",44.66,-86.02,"NA-US-MI-HONOR","false",869,1475,18737321
"48628","STANDARD","HOPE","MI","PRIMARY",43.79,-84.32,"NA-US-MI-HOPE","false",853,1529,30188709
"49328","STANDARD","HOPKINS","MI","PRIMARY",42.62,-85.76,"NA-US-MI-HOPKINS","false",1706,3218,57696459
"49921","STANDARD","DODGEVILLE","MI","PRIMARY",47.09,-88.57,"NA-US-MI-DODGEVILLE","false",,,
"49931","STANDARD","HOUGHTON","MI","PRIMARY",47.11,-88.56,"NA-US-MI-HOUGHTON","false",2995,4735,91961137
"48629","STANDARD","HOUGHTON LAKE","MI","PRIMARY",44.31,-84.76,"NA-US-MI-HOUGHTON LAKE","false",3503,6010,65336508
"48630","PO BOX","HOUGHTON LAKE HEIGHTS","MI","PRIMARY",44.27,-84.76,"NA-US-MI-HOUGHTON LAKE HEIGHTS","false",,,
"49329","STANDARD","HOWARD CITY","MI","PRIMARY",43.39,-85.46,"NA-US-MI-HOWARD CITY","false",3597,6763,112218417
"48843","STANDARD","HOWELL","MI","PRIMARY",42.60,-83.93,"NA-US-MI-HOWELL","false",19457,35835,919725591
"48844","PO BOX","HOWELL","MI","PRIMARY",42.60,-83.93,"NA-US-MI-HOWELL","false",507,802,18377196
"48855","STANDARD","HOWELL","MI","PRIMARY",42.69,-83.88,"NA-US-MI-HOWELL","false",6590,12267,298404429
"49747","STANDARD","HUBBARD LAKE","MI","PRIMARY",44.80,-83.59,"NA-US-MI-HUBBARD LAKE","false",872,1525,16331551
"48845","STANDARD","HUBBARDSTON","MI","PRIMARY",43.09,-84.84,"NA-US-MI-HUBBARDSTON","false",445,809,11755662
"49934","PO BOX","HUBBELL","MI","PRIMARY",47.17,-88.43,"NA-US-MI-HUBBELL","false",412,707,10534845
"49426","STANDARD","HUDSONVILLE","MI","PRIMARY",42.86,-85.86,"NA-US-MI-HUDSONVILLE","false",14860,28748,657602868
"49748","PO BOX","HULBERT","MI","PRIMARY",46.35,-85.15,"NA-US-MI-HULBERT","false",,,
"49642","STANDARD","IDLEWILD","MI","PRIMARY",43.88,-85.80,"NA-US-MI-IDLEWILD","false",283,480,2976585
"49749","STANDARD","INDIAN RIVER","MI","PRIMARY",45.41,-84.61,"NA-US-MI-INDIAN RIVER","false",2077,3668,55936668
"49848","STANDARD","INGALLS","MI","PRIMARY",45.38,-87.61,"NA-US-MI-INGALLS","false",,,
