"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"18451","STANDARD","PAUPACK","PA","PRIMARY",41.39,-75.19,"NA-US-PA-PAUPACK","false",250,427,7022626
"17860","STANDARD","PAXINOS","PA","PRIMARY",40.83,-76.64,"NA-US-PA-PAXINOS","false",1046,1910,37785726
"17861","PO BOX","PAXTONVILLE","PA","PRIMARY",40.76,-77.08,"NA-US-PA-PAXTONVILLE","false",,,
"17563","STANDARD","PEACH BOTTOM","PA","PRIMARY",39.76,-76.18,"NA-US-PA-PEACH BOTTOM","false",1657,3089,49228832
"18452","STANDARD","PECKVILLE","PA","PRIMARY",41.47,-75.57,"NA-US-PA-PECKVILLE","false",2445,4085,75296625
"18072","STANDARD","PEN ARGYL","PA","PRIMARY",40.86,-75.25,"NA-US-PA-PEN ARGYL","false",3459,6059,127641775
"17862","PO BOX","PENNS CREEK","PA","PRIMARY",40.86,-77.07,"NA-US-PA-PENNS CREEK","false",,,
"17564","PO BOX","PENRYN","PA","PRIMARY",40.16,-76.42,"NA-US-PA-PENRYN","false",,,
"17565","STANDARD","PEQUEA","PA","PRIMARY",39.90,-76.31,"NA-US-PA-PEQUEA","false",1310,2316,54288297
"18074","STANDARD","PERKIOMENVILLE","PA","PRIMARY",40.32,-75.51,"NA-US-PA-PERKIOMENVILLE","false",2515,4576,127773101
"17762","PO BOX","PICTURE ROCKS","PA","PRIMARY",41.28,-76.70,"NA-US-PA-PICTURE ROCKS","false",283,492,8965206
"17080","PO BOX","PILLOW","PA","PRIMARY",40.64,-76.80,"NA-US-PA-PILLOW","false",,,
"19548","PO BOX","PINE FORGE","PA","PRIMARY",40.28,-75.72,"NA-US-PA-PINE FORGE","false",,,
"17963","STANDARD","PINE GROVE","PA","PRIMARY",40.54,-76.38,"NA-US-PA-PINE GROVE","false",4572,8027,152263727
"17964","STANDARD","PITMAN","PA","PRIMARY",40.70,-76.51,"NA-US-PA-PITMAN","false",341,615,9848293
"18640","STANDARD","PITTSTON","PA","PRIMARY",41.32,-75.78,"NA-US-PA-PITTSTON","false",8585,14000,263048564
"18641","STANDARD","PITTSTON","PA","PRIMARY",41.32,-75.78,"NA-US-PA-PITTSTON","false",3539,5823,108367861
"18642","STANDARD","DURYEA","PA","PRIMARY",41.34,-75.75,"NA-US-PA-DURYEA","false",2212,3677,74985344
"18643","STANDARD","PITTSTON","PA","PRIMARY",41.32,-75.78,"NA-US-PA-PITTSTON","false",6488,10804,213188023
"18644","STANDARD","WYOMING","PA","PRIMARY",41.30,-75.84,"NA-US-PA-WYOMING","false",3993,6696,137276594
"17081","PO BOX","PLAINFIELD","PA","PRIMARY",40.19,-77.42,"NA-US-PA-PLAINFIELD","false",,,
"17246","STANDARD","PLEASANT HALL","PA","PRIMARY",40.02,-77.70,"NA-US-PA-PLEASANT HALL","false",,,
"18651","STANDARD","PLYMOUTH","PA","PRIMARY",41.24,-75.95,"NA-US-PA-PLYMOUTH","false",4395,7179,115124188
"18347","STANDARD","POCONO LAKE","PA","PRIMARY",41.11,-75.56,"NA-US-PA-POCONO LAKE","false",1453,2460,42149235
"18348","PO BOX","POCONO LAKE PRESERVE","PA","PRIMARY",41.11,-75.56,"NA-US-PA-POCONO LAKE PRESERVE","false",,,
"18349","PO BOX","POCONO MANOR","PA","PRIMARY",41.03,-75.28,"NA-US-PA-POCONO MANOR","false",,,
"18350","STANDARD","POCONO PINES","PA","PRIMARY",41.11,-75.45,"NA-US-PA-POCONO PINES","false",868,1465,36933576
"18346","STANDARD","POCONO SUMMIT","PA","PRIMARY",41.10,-75.42,"NA-US-PA-POCONO SUMMIT","false",1654,2941,56545272
"17965","STANDARD","PORT CARBON","PA","PRIMARY",40.69,-76.16,"NA-US-PA-PORT CARBON","false",1073,1811,30432531
"19549","PO BOX","PORT CLINTON","PA","PRIMARY",40.58,-76.02,"NA-US-PA-PORT CLINTON","false",,,
"18351","PO BOX","PORTLAND","PA","PRIMARY",40.91,-75.09,"NA-US-PA-PORTLAND","false",347,559,11051612
"17082","STANDARD","PORT ROYAL","PA","PRIMARY",40.53,-77.39,"NA-US-PA-PORT ROYAL","false",1533,2754,43526715
"17864","STANDARD","PORT TREVORTON","PA","PRIMARY",40.70,-76.91,"NA-US-PA-PORT TREVORTON","false",992,1809,23000164
"17865","PO BOX","POTTS GROVE","PA","PRIMARY",40.99,-76.79,"NA-US-PA-POTTS GROVE","false",,,
"17901","STANDARD","POTTSVILLE","PA","PRIMARY",40.67,-76.20,"NA-US-PA-POTTSVILLE","false",11458,19275,365382174
"17974","PO BOX","SELTZER","PA","PRIMARY",40.69,-76.22,"NA-US-PA-SELTZER","false",,,
"18454","PO BOX","POYNTELLE","PA","PRIMARY",41.82,-75.42,"NA-US-PA-POYNTELLE","false",,,
"18455","STANDARD","PRESTON PARK","PA","PRIMARY",41.88,-75.35,"NA-US-PA-PRESTON PARK","false",,,
"18456","STANDARD","PROMPTON","PA","PRIMARY",41.58,-75.32,"NA-US-PA-PROMPTON","false",,,
"18245","PO BOX","QUAKAKE","PA","PRIMARY",40.84,-75.97,"NA-US-PA-QUAKAKE","false",,,
