"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"05460","PO BOX","HIGHGATE SPRINGS","VT","PRIMARY",44.97,-73.10,"NA-US-VT-HIGHGATE SPRINGS","false",,,
"05461","STANDARD","HINESBURG","VT","PRIMARY",44.33,-73.12,"NA-US-VT-HINESBURG","false",2438,4309,111219381
"05462","STANDARD","HUNTINGTON","VT","PRIMARY",44.33,-72.98,"NA-US-VT-HUNTINGTON","false",958,1733,41923754
"05655","STANDARD","HYDE PARK","VT","PRIMARY",44.59,-72.61,"NA-US-VT-HYDE PARK","false",1445,2465,44175151
"05750","PO BOX","HYDEVILLE","VT","PRIMARY",43.60,-73.21,"NA-US-VT-HYDEVILLE","false",,,
"05845","STANDARD","IRASBURG","VT","PRIMARY",44.81,-72.28,"NA-US-VT-IRASBURG","false",581,1030,14120157
"05846","STANDARD","ISLAND POND","VT","PRIMARY",44.81,-71.88,"NA-US-VT-ISLAND POND","false",636,1053,13151508
"05463","STANDARD","ISLE LA MOTTE","VT","PRIMARY",44.87,-73.33,"NA-US-VT-ISLE LA MOTTE","false",263,452,7914593
"05342","STANDARD","JACKSONVILLE","VT","PRIMARY",42.79,-72.82,"NA-US-VT-JACKSONVILLE","false",334,572,9456148
"05343","STANDARD","JAMAICA","VT","PRIMARY",43.10,-72.80,"NA-US-VT-JAMAICA","false",416,697,10821319
"05464","STANDARD","JEFFERSONVILLE","VT","PRIMARY",44.64,-72.82,"NA-US-VT-JEFFERSONVILLE","false",1420,2441,50129879
"05465","STANDARD","JERICHO","VT","PRIMARY",44.50,-72.98,"NA-US-VT-JERICHO","false",2757,5143,146965811
"05656","STANDARD","JOHNSON","VT","PRIMARY",44.63,-72.67,"NA-US-VT-JOHNSON","false",1426,2331,37687747
"05466","PO BOX","JONESVILLE","VT","PRIMARY",44.39,-72.99,"NA-US-VT-JONESVILLE","false",,,
"05751","STANDARD","KILLINGTON","VT","PRIMARY",43.67,-72.77,"NA-US-VT-KILLINGTON","false",794,1157,22831834
"05148","STANDARD","LONDONDERRY","VT","PRIMARY",43.22,-72.80,"NA-US-VT-LONDONDERRY","false",710,1210,19328698
"05847","STANDARD","LOWELL","VT","PRIMARY",44.80,-72.45,"NA-US-VT-LOWELL","false",352,636,8360196
"05848","PO BOX","LOWER WATERFORD","VT","PRIMARY",44.35,-71.92,"NA-US-VT-LOWER WATERFORD","false",,,
"05149","STANDARD","LUDLOW","VT","PRIMARY",43.39,-72.69,"NA-US-VT-LUDLOW","false",1355,2103,36452539
"05906","STANDARD","LUNENBURG","VT","PRIMARY",44.47,-71.68,"NA-US-VT-LUNENBURG","false",577,1005,13979031
"05849","PO BOX","LYNDON","VT","PRIMARY",44.50,-71.97,"NA-US-VT-LYNDON","false",,,
"05850","STANDARD","LYNDON CENTER","VT","PRIMARY",44.55,-72.04,"NA-US-VT-LYNDON CENTER","false",341,575,10774036
"05851","STANDARD","LYNDONVILLE","VT","PRIMARY",44.53,-72.00,"NA-US-VT-LYNDONVILLE","false",2697,4536,77003149
"05050","PO BOX","MC INDOE FALLS","VT","PRIMARY",44.26,-72.06,"NA-US-VT-MC INDOE FALLS","false",,,
"05254","PO BOX","MANCHESTER","VT","PRIMARY",43.16,-73.07,"NA-US-VT-MANCHESTER","false",499,845,19826468
"05255","STANDARD","MANCHESTER CENTER","VT","PRIMARY",43.17,-73.04,"NA-US-VT-MANCHESTER CENTER","false",2284,3743,71214461
"05344","PO BOX","MARLBORO","VT","PRIMARY",42.86,-72.72,"NA-US-VT-MARLBORO","false",264,431,7718256
"05658","STANDARD","MARSHFIELD","VT","PRIMARY",44.35,-72.35,"NA-US-VT-MARSHFIELD","false",697,1228,19008014
"05753","STANDARD","MIDDLEBURY","VT","PRIMARY",44.00,-73.15,"NA-US-VT-MIDDLEBURY","false",4236,6966,152709415
"05757","STANDARD","MIDDLETOWN SPRINGS","VT","PRIMARY",43.48,-73.12,"NA-US-VT-MIDDLETOWN SPRINGS","false",450,782,13590729
"05468","STANDARD","MILTON","VT","PRIMARY",44.63,-73.11,"NA-US-VT-MILTON","false",6710,11914,277076898
"05469","PO BOX","MONKTON","VT","PRIMARY",44.23,-73.15,"NA-US-VT-MONKTON","false",,,
"05470","PO BOX","MONTGOMERY","VT","PRIMARY",44.90,-72.63,"NA-US-VT-MONTGOMERY","false",,,
"05471","STANDARD","MONTGOMERY CENTER","VT","PRIMARY",44.86,-72.59,"NA-US-VT-MONTGOMERY CENTER","false",384,653,10062799
"05601","PO BOX","MONTPELIER","VT","PRIMARY",44.26,-72.57,"NA-US-VT-MONTPELIER","false",495,721,17318530
"05602","STANDARD","MONTPELIER","VT","PRIMARY",44.26,-72.57,"NA-US-VT-MONTPELIER","false",6197,10117,227545388
"05603","UNIQUE","MONTPELIER","VT","PRIMARY",44.26,-72.57,"NA-US-VT-MONTPELIER","false",,,
"05604","UNIQUE","MONTPELIER","VT","PRIMARY",44.26,-72.57,"NA-US-VT-MONTPELIER","false",,,
"05609","UNIQUE","MONTPELIER","VT","PRIMARY",44.26,-72.57,"NA-US-VT-MONTPELIER","false",,,
"05620","UNIQUE","MONTPELIER","VT","PRIMARY",44.26,-72.57,"NA-US-VT-MONTPELIER","false",,,
"05633","UNIQUE","MONTPELIER","VT","PRIMARY",44.26,-72.57,"NA-US-VT-MONTPELIER","false",,,
"05660","STANDARD","MORETOWN","VT","PRIMARY",44.25,-72.75,"NA-US-VT-MORETOWN","false",962,1642,37748285
"05853","STANDARD","MORGAN","VT","PRIMARY",44.89,-71.96,"NA-US-VT-MORGAN","false",269,453,7058441
"05657","PO BOX","LAKE ELMORE","VT","PRIMARY",44.54,-72.52,"NA-US-VT-LAKE ELMORE","false",,,
"05661","STANDARD","MORRISVILLE","VT","PRIMARY",44.55,-72.59,"NA-US-VT-MORRISVILLE","false",2963,5006,90693693
"05758","STANDARD","MOUNT HOLLY","VT","PRIMARY",43.43,-72.78,"NA-US-VT-MOUNT HOLLY","false",382,646,11608219
"05051","STANDARD","NEWBURY","VT","PRIMARY",44.08,-72.06,"NA-US-VT-NEWBURY","false",489,828,13191338
"05345","STANDARD","NEWFANE","VT","PRIMARY",42.98,-72.65,"NA-US-VT-NEWFANE","false",836,1416,24951186
"05472","STANDARD","NEW HAVEN","VT","PRIMARY",44.12,-73.15,"NA-US-VT-NEW HAVEN","false",947,1669,33907033
"05855","STANDARD","NEWPORT","VT","PRIMARY",44.93,-72.20,"NA-US-VT-NEWPORT","false",3334,5570,93510221
"05857","STANDARD","NEWPORT CENTER","VT","PRIMARY",44.95,-72.30,"NA-US-VT-NEWPORT CENTER","false",670,1218,16923052
"05257","STANDARD","NORTH BENNINGTON","VT","PRIMARY",42.92,-73.24,"NA-US-VT-NORTH BENNINGTON","false",1237,2155,42141212
"05759","STANDARD","NORTH CLARENDON","VT","PRIMARY",43.53,-72.96,"NA-US-VT-NORTH CLARENDON","false",1126,1856,36845390
"05840","PO BOX","GRANBY","VT","PRIMARY",44.57,-71.77,"NA-US-VT-GRANBY","false",,,
"05858","STANDARD","NORTH CONCORD","VT","PRIMARY",44.56,-71.77,"NA-US-VT-NORTH CONCORD","false",,,
"05473","STANDARD","NORTH FERRISBURGH","VT","PRIMARY",44.24,-73.19,"NA-US-VT-NORTH FERRISBURGH","false",722,1242,28430260
"05663","STANDARD","NORTHFIELD","VT","PRIMARY",44.15,-72.65,"NA-US-VT-NORTHFIELD","false",2310,3880,81292215
"05664","PO BOX","NORTHFIELD FALLS","VT","PRIMARY",44.16,-72.67,"NA-US-VT-NORTHFIELD FALLS","false",368,585,10862718
"05052","STANDARD","NORTH HARTLAND","VT","PRIMARY",43.59,-72.35,"NA-US-VT-NORTH HARTLAND","false",,,
"05474","STANDARD","NORTH HERO","VT","PRIMARY",44.82,-73.28,"NA-US-VT-NORTH HERO","false",439,757,18683268
"05665","PO BOX","NORTH HYDE PARK","VT","PRIMARY",44.66,-72.57,"NA-US-VT-NORTH HYDE PARK","false",,,
"05053","STANDARD","NORTH POMFRET","VT","PRIMARY",43.72,-72.49,"NA-US-VT-NORTH POMFRET","false",,,
"05260","STANDARD","NORTH POWNAL","VT","PRIMARY",42.81,-73.24,"NA-US-VT-NORTH POWNAL","false",,,
"05150","STANDARD","NORTH SPRINGFIELD","VT","PRIMARY",43.33,-72.52,"NA-US-VT-NORTH SPRINGFIELD","false",572,925,15359473
"05054","PO BOX","NORTH THETFORD","VT","PRIMARY",43.84,-72.18,"NA-US-VT-NORTH THETFORD","false",,,
"05859","STANDARD","NORTH TROY","VT","PRIMARY",44.99,-72.40,"NA-US-VT-NORTH TROY","false",827,1422,21480484
"05907","STANDARD","NORTON","VT","PRIMARY",45.00,-71.80,"NA-US-VT-NORTON","false",,,
"05055","STANDARD","NORWICH","VT","PRIMARY",43.72,-72.30,"NA-US-VT-NORWICH","false",1918,3317,113788374
"05860","STANDARD","ORLEANS","VT","PRIMARY",44.81,-72.20,"NA-US-VT-ORLEANS","false",1209,2073,30475911
"05760","STANDARD","ORWELL","VT","PRIMARY",43.80,-73.30,"NA-US-VT-ORWELL","false",582,1038,16942712
"05861","PO BOX","PASSUMPSIC","VT","PRIMARY",44.38,-72.03,"NA-US-VT-PASSUMPSIC","false",,,
"05761","STANDARD","PAWLET","VT","PRIMARY",43.35,-73.18,"NA-US-VT-PAWLET","false",549,932,14049480
"05862","STANDARD","PEACHAM","VT","PRIMARY",44.33,-72.17,"NA-US-VT-PEACHAM","false",,,
"05151","STANDARD","PERKINSVILLE","VT","PRIMARY",43.36,-72.51,"NA-US-VT-PERKINSVILLE","false",654,1126,22332334
"05152","STANDARD","PERU","VT","PRIMARY",43.23,-72.89,"NA-US-VT-PERU","false",,,
"05762","STANDARD","PITTSFIELD","VT","PRIMARY",43.78,-72.82,"NA-US-VT-PITTSFIELD","false",259,432,7599392
"05763","STANDARD","PITTSFORD","VT","PRIMARY",43.70,-73.03,"NA-US-VT-PITTSFORD","false",1415,2481,55269375
"05667","STANDARD","PLAINFIELD","VT","PRIMARY",44.28,-72.43,"NA-US-VT-PLAINFIELD","false",1158,1957,35102504
"05056","STANDARD","PLYMOUTH","VT","PRIMARY",43.53,-72.73,"NA-US-VT-PLYMOUTH","false",,,
"05058","STANDARD","POST MILLS","VT","PRIMARY",43.89,-72.26,"NA-US-VT-POST MILLS","false",,,
"05741","PO BOX","EAST POULTNEY","VT","PRIMARY",43.54,-73.13,"NA-US-VT-EAST POULTNEY","false",,,
"05764","STANDARD","POULTNEY","VT","PRIMARY",43.51,-73.23,"NA-US-VT-POULTNEY","false",1484,2481,41955551
"05261","STANDARD","POWNAL","VT","PRIMARY",42.76,-73.23,"NA-US-VT-POWNAL","false",1208,2087,35986293
"05765","STANDARD","PROCTOR","VT","PRIMARY",43.65,-73.03,"NA-US-VT-PROCTOR","false",908,1566,32175591
"05153","STANDARD","PROCTORSVILLE","VT","PRIMARY",43.41,-72.60,"NA-US-VT-PROCTORSVILLE","false",406,670,11252977
"05346","STANDARD","PUTNEY","VT","PRIMARY",42.97,-72.52,"NA-US-VT-PUTNEY","false",2463,4067,75297116
"05059","PO BOX","QUECHEE","VT","PRIMARY",43.65,-72.42,"NA-US-VT-QUECHEE","false",753,1287,34610364
"05060","STANDARD","RANDOLPH","VT","PRIMARY",43.92,-72.67,"NA-US-VT-RANDOLPH","false",2383,3991,76676536
"05061","STANDARD","RANDOLPH CENTER","VT","PRIMARY",43.93,-72.58,"NA-US-VT-RANDOLPH CENTER","false",640,1100,21710421
"05062","STANDARD","READING","VT","PRIMARY",43.47,-72.55,"NA-US-VT-READING","false",372,623,10227360
"05350","STANDARD","READSBORO","VT","PRIMARY",42.77,-72.94,"NA-US-VT-READSBORO","false",379,636,10794766
"05352","STANDARD","STAMFORD","VT","PRIMARY",42.77,-72.94,"NA-US-VT-STAMFORD","false",438,757,14784423
"05476","STANDARD","RICHFORD","VT","PRIMARY",44.99,-72.67,"NA-US-VT-RICHFORD","false",1226,2173,34361516
"05477","STANDARD","RICHMOND","VT","PRIMARY",44.40,-73.00,"NA-US-VT-RICHMOND","false",2247,4027,108533845
"05767","STANDARD","ROCHESTER","VT","PRIMARY",43.88,-72.82,"NA-US-VT-ROCHESTER","false",625,1033,19140266
"05669","STANDARD","ROXBURY","VT","PRIMARY",44.10,-72.73,"NA-US-VT-ROXBURY","false",268,462,6659703
"05768","PO BOX","RUPERT","VT","PRIMARY",43.26,-73.22,"NA-US-VT-RUPERT","false",,,
"05701","STANDARD","RUTLAND","VT","PRIMARY",43.60,-72.97,"NA-US-VT-RUTLAND","false",10563,16970,339812064
"05702","PO BOX","RUTLAND","VT","PRIMARY",43.60,-72.97,"NA-US-VT-RUTLAND","false",543,789,17005947
"05478","STANDARD","SAINT ALBANS","VT","PRIMARY",44.81,-73.08,"NA-US-VT-SAINT ALBANS","false",7190,12191,251628373
"05479","UNIQUE","SAINT ALBANS","VT","PRIMARY",44.81,-73.08,"NA-US-VT-SAINT ALBANS","false",,,
